TODO,LOC,TODO/LOC,FILE
1,55,1.82%,Userland/Libraries/LibWeb/HTML/WorkerGlobalScope.h
1,74,1.35%,Userland/Libraries/LibWeb/HTML/WorkerLocation.cpp
1,42,2.38%,Userland/Libraries/LibWeb/HTML/HTMLTemplateElement.cpp
9,96,9.38%,Userland/Libraries/LibWeb/HTML/WorkerGlobalScope.cpp
2,38,5.26%,Userland/Libraries/LibWeb/HighResolutionTime/TimeOrigin.cpp
2,43,4.65%,Userland/Libraries/LibWeb/Infra/Strings.cpp
1,78,1.28%,Userland/Libraries/LibWeb/Infra/Base64.cpp
4,37,10.81%,Userland/Libraries/LibWeb/IntersectionObserver/IntersectionObserver.cpp
7,686,1.02%,Userland/Libraries/LibWeb/Layout/BlockFormattingContext.cpp
2,393,0.51%,Userland/Libraries/LibWeb/Layout/TableFormattingContext.cpp
1,33,3.03%,Userland/Libraries/LibWeb/Layout/FrameBox.cpp
52,911,5.71%,Userland/Libraries/LibWeb/Layout/GridFormattingContext.cpp
3,237,1.27%,Userland/Libraries/LibWeb/Layout/InlineLevelIterator.cpp
1,36,2.78%,Userland/Libraries/LibWeb/Layout/LayoutPosition.cpp
1,328,0.30%,Userland/Libraries/LibWeb/Layout/LayoutState.cpp
4,247,1.62%,Userland/Libraries/LibWeb/Layout/LineBuilder.cpp
1,76,1.32%,Userland/Libraries/LibWeb/Layout/SVGSVGBox.cpp
2,72,2.78%,Userland/Libraries/LibWeb/Layout/SVGFormattingContext.cpp
5,566,0.88%,Userland/Libraries/LibWeb/Layout/Node.cpp
1,83,1.20%,Userland/Libraries/LibWeb/Layout/ImageBox.cpp
19,932,2.04%,Userland/Libraries/LibWeb/Layout/FormattingContext.cpp
4,486,0.82%,Userland/Libraries/LibWeb/Layout/TreeBuilder.cpp
30,1509,1.99%,Userland/Libraries/LibWeb/Layout/FlexFormattingContext.cpp
2,268,0.75%,Userland/Libraries/LibWeb/Layout/InlineFormattingContext.cpp
1,156,0.64%,Userland/Libraries/LibWeb/Layout/TextNode.cpp
2,37,5.41%,Userland/Libraries/LibWeb/Layout/BlockContainer.cpp
3,363,0.83%,Userland/Libraries/LibWeb/Loader/FrameLoader.cpp
1,134,0.75%,Userland/Libraries/LibWeb/Loader/ImageLoader.cpp
3,162,1.85%,Userland/Libraries/LibWeb/Loader/Resource.cpp
3,325,0.92%,Userland/Libraries/LibWeb/Loader/ResourceLoader.cpp
1,146,0.68%,Userland/Libraries/LibWeb/MimeSniff/MimeType.cpp
4,89,4.49%,Userland/Libraries/LibWeb/Page/EditEventHandler.cpp
1,164,0.61%,Userland/Libraries/LibWeb/Page/Page.h
19,639,2.97%,Userland/Libraries/LibWeb/Page/EventHandler.cpp
1,270,0.37%,Userland/Libraries/LibWeb/Painting/BackgroundPainting.cpp
5,315,1.59%,Userland/Libraries/LibWeb/Painting/BorderPainting.cpp
4,90,4.44%,Userland/Libraries/LibWeb/Painting/FilterPainting.cpp
1,100,1.00%,Userland/Libraries/LibWeb/Painting/PaintContext.cpp
7,281,2.49%,Userland/Libraries/LibWeb/Painting/ShadowPainting.cpp
2,36,5.56%,Userland/Libraries/LibWeb/Painting/CanvasPaintable.cpp
1,49,2.04%,Userland/Libraries/LibWeb/Painting/ImagePaintable.cpp
3,115,2.61%,Userland/Libraries/LibWeb/Painting/InlinePaintable.cpp
1,32,3.12%,Userland/Libraries/LibWeb/Painting/LabelablePaintable.h
1,75,1.33%,Userland/Libraries/LibWeb/Painting/MarkerPaintable.cpp
10,603,1.66%,Userland/Libraries/LibWeb/Painting/PaintableBox.cpp
1,19,5.26%,Userland/Libraries/LibWeb/Painting/ProgressPaintable.h
11,508,2.17%,Userland/Libraries/LibWeb/Painting/StackingContext.cpp
2,73,2.74%,Userland/Libraries/LibWeb/Painting/Paintable.cpp
1,45,2.22%,Userland/Libraries/LibWeb/Platform/FontPluginSerenity.cpp
1,67,1.49%,Userland/Libraries/LibWeb/Platform/TimerSerenity.cpp
2,105,1.90%,Userland/Libraries/LibWeb/ReferrerPolicy/AbstractOperations.cpp
